x,y
0.28964093746617436,0.2610110486857593
0.42647076956927776,0.1615713839419186
0.3252033672761172,0.4429920297116041
0.6302078347653151,0.39838741230778396
0.44491352746263146,0.9390574914868921
0.12348391208797693,0.6632921386044472
0.3135836566798389,0.5070909908972681
0.07694970164448023,0.22109242249280214
0.571226408239454,0.16854022722691298
0.6588287809863687,0.9549736510962248
0.2566815698519349,0.8156267027370632
0.6090719064231962,0.6832836370449513
0.8735889676027,0.9249479083810002
0.8389950192067772,0.5945942783728242
0.9573517935350537,0.7253343479242176
0.9555055580567569,0.3459675449412316
0.7064781745430082,0.7868660241365433
0.7044212261680514,0.6465918042231351
0.9230802219826728,0.6081199424806982
0.7847312700469047,0.27713490813039243
0.26076135667972267,0.4630501091014594
0.3403224069625139,0.3187305077444762
0.33178705628961325,7.214113138616085e-4
0.1344684842042625,0.046968283830210567
0.14668914233334363,0.708345735212788
0.266873616958037,0.3311776879709214
0.6078927351627499,0.1942446455359459
0.6274140900932252,0.8503070864826441
0.016721577383577824,0.784409750951454
0.8368486205581576,0.7317421508487314
0.5535843051038682,0.06479229941032827
0.8136257969308645,0.44234952982515097
0.20548163214698434,0.2549603604711592
0.7326480518095195,0.607592943822965
0.9611195377074182,0.025059005478397012
0.657017873832956,0.15810544975101948
0.46726049459539354,0.22236082889139652
0.5747122140601277,0.6062464690767229
0.8328406647779047,0.6422542091459036
0.6740443389862776,0.6107112446334213
