bodymass,if.basal,dispersal.dist
7.91968087,1,0.319872779
18.3601697,1,0.128836338
31.0291812,1,0.374101315
71845.5766,1,0.196878636
703748.746,1,0.23559436
130.82751,0,0.160252553
187.128147,0,0.163146199
278.897059,0,0.166434058
4655.82729,0,0.191588681
521157.058,0,0.242559582
714101.679,0,0.246409817
929189.177,0,0.249675088
1137215.8,0,0.252209911
9377433.13,0,0.280268444
16783073.8,0,0.288545018
500791591,0,0.341942321
605352717,0,0.345199716
14188584800,0,0.404172684
70482524700,0,0.437899125
84233077900,0,0.441818745
