bodymass,if.basal,dispersal.dist
39.0993592,1,0.310298884
47.9036124,1,0.216075657
22961.3127,1,0.00717801473
93971.9803,1,0.459753749
164419.481,1,0.123165699
215.522445,0,0.164302673
696.618242,0,0.17422872
4021.70253,0,0.190191236
43546.6185,0,0.214248468
64022.6104,0,0.218417118
653297.273,0,0.245315815
680146.574,0,0.24581033
2270007.41,0,0.261078656
16894725.1,0,0.288640694
68850154.7,0,0.30964584
108202071,0,0.31672459
1351144690,0,0.359339614
1385718390,0,0.359793865
28185453300,0,0.418284003
393371234000,0,0.477210658
