bodymass,if.basal,dispersal.dist
2.03385196,1,0.269124858
2.32794116,1,0.282485179
13.4585734,1,0.0448032155
39.7299418,1,0.0262335867
104.48760299999999,1,0.0570818185
479.657558,0,0.171008056
657.59676,0,0.173727267
844.766579,0,0.175916607
2344.95566,0,0.185129972
58027.9875,0,0.217346114
78972.8932,0,0.220721128
990531.166,0,0.250474438
2052055.62,0,0.259764298
12630736.4,0,0.284473252
271261650,0,0.331619014
1338618760,0,0.359172312
1794261920,0,0.364472106
15762027000,0,0.406303541
226754905000,0,0.464245645
317336173000,0,0.472113026
